Connecting to 45.63.82.34:1883 …

Listening for 15 minutes … (Ctrl-C to stop early)

[connect] rc=0 — OK
  ✓ Subscribed: KTBMES/TWIX/sensors/house_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_pressure_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/unknown_other_sensors/#
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_0e04b785  →  {"device_id": "0e04b785", "device_name": "UNKNOWN_DEVICE_0e04b785", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_96  →  {"device_id": "96", "device_name": "UNKNOWN_DEVICE_96", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_930d500a  →  {"device_id": "930d500a", "device_name": "UNKNOWN_DEVICE_930d500a", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_0e04b784  →  {"device_id": "0e04b784", "device_name": "UNKNOWN_DEVICE_0e04b784", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_95b2cf42  →  {"device_id": "95b2cf42", "device_name": "UNKNOWN_DEVICE_95b2cf42", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_95b483a8  →  {"device_id": "95b483a8", "device_name": "UNKNOWN_DEVICE_95b483a8", "protocol_id
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_97  →  {"device_id": "97", "device_name": "UNKNOWN_DEVICE_97", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_4  →  {"device_id": "4", "device_name": "UNKNOWN_DEVICE_4", "protocol_id": "-1", "prot
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_99  →  {"device_id": "99", "device_name": "UNKNOWN_DEVICE_99", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_41  →  {"device_id": "41", "device_name": "UNKNOWN_DEVICE_41", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_14  →  {"device_id": "14", "device_name": "UNKNOWN_DEVICE_14", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_160  →  {"device_id": "160", "device_name": "UNKNOWN_DEVICE_160", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_6  →  {"device_id": "6", "device_name": "UNKNOWN_DEVICE_6", "protocol_id": "-1", "prot
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_116  →  {"device_id": "116", "device_name": "UNKNOWN_DEVICE_116", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_132  →  {"device_id": "132", "device_name": "UNKNOWN_DEVICE_132", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_161  →  {"device_id": "161", "device_name": "UNKNOWN_DEVICE_161", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_1431655722  →  {"device_id": "1431655722", "device_name": "UNKNOWN_DEVICE_1431655722", "protoco
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_193  →  {"device_id": "193", "device_name": "UNKNOWN_DEVICE_193", "protocol_id": "-1", "
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_40  →  {"device_id": "40", "device_name": "UNKNOWN_DEVICE_40", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_26  →  {"device_id": "26", "device_name": "UNKNOWN_DEVICE_26", "protocol_id": "-1", "pr
  [  31s /  869s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_200  →  {"device_id": "200", "device_name": "UNKNOWN_DEVICE_200", "protocol_id": "-1", "
